100  Sam    0.13     Jan  1000   C  1   155  15
42   Fred   0.039    Jan  1000K  A  5   132  0
1    Olga   7.7e-23  Feb  19G    R  1   37   0
34   Jan    0.029    Mar  12     R  1   155  15
49   Olga   7.7e-23  Apr  19G    A  20  87   0
60   Bob    2.9e-43  May  1      T  1   155  15
62   Bob    5.2e-17  May  0      B  1   155  15
40   Duffy  0        Jun  4G     A  1   203  17
110  Bob    4.3e-30  Jul  12     A  1   203  5
65   Rob    5.6e-7   Jul  34G    A  37  250  32
42a  Bob    1e-06    Aug  12T    A  5   92   6
57   Doppl  0.18     Aug  1K     T  5   131  0
237  Zany   1.3e-52  Sep  999    R  1   110  0
9    Bob    2e-44    Oct  1P     O  24  92   3
40   Fred   5.9e-06  Nov  4000M  T  1   100  4
100  Fred   0.084    Dec  1M     D  1   37   0
